Name of the document,Institution,URL,Authors,Affiliates,Sector,Country,Date,Keywords,Exclusion criteria,Status,Label,MapAIE (ours),Jobin,Fjeld,Tidjon,Hagendorff,Floridi,Zeng (LAIP),Attard-Frost,EP,Algorithm watch,CE,Winfield,EthicalML GitHub,all sources,Checked by,,,
European industrial policy on artificial intelligence and robotics,European Parliament,http://www.europarl.europa.eu/doceo/document/TA-8-2019-0081_EN.pdf,,,,international,,,,included,SPI (policy),1,,,,,,,,,,1,,,1,Tiphaine,,,
Governing data and artificial intelligence for all: model for sustainable and just data governance,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/729533/EPRS_STU(2022)729533_EN.pdf,,,,EU,,,,Included,"SPI, digital",1,,,,,,,,,,1,,,1,Maria,,,
Identification and assessment of existing and draft EU legislation in the digital field,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/703345/IPOL_STU(2022)703345_EN.pdf,,,,EU,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Improving working conditions using Artificial Intelligence,European Parliament,http://www.europarl.europa.eu/RegData/etudes/STUD/2021/662911/IPOL_STU(2021)662911_EN.pdf,,,,EU,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Initial Appraisal of a European Commission Impact Assessment,European Parliament,https://op.europa.eu/fr/publication-detail/-/publication/c721f802-9ce7-11e7-b92d-01aa75ed71a1/language-en,,,,international,,,,Not included,"not ai, not ai ethics",0,,,,,,,,,,1,,,1,Tiphaine,,,
Multilateral initiatives for upholding human rights in digital technologies: A task for the UN or for liberal democracies?,European Parliament,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/729376/EPRS_BRI(2022)729376_EN.pdf,,,,EU,,,,Included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
"Person identification, human rights and ethical principles - Rethinking biometrics in the era of artificial intelligence",European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/697191/EPRS_STU(2021)697191_EN.pdf,,,,EU,,,,Included,"SPI, techno-specific, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
Report on Artificial Intellilgence in a digital age,European Parliament,https://www.europarl.europa.eu/cmsdata/246872/A9-0088_2022_EN.pdf,,,,EU,,,,Included,,1,,,,,,,,,,1,,,1,Maria,,,
Report on intellectual property rights for the development of artificial intelligence technologies,European Parliament,https://www.europarl.europa.eu/doceo/document/A-9-2020-0176_EN.pdf,,,,EU,,,,Included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
"Report with recommendations to the Commission on a framework of ethical aspects of artificial intelligence, robotics and related technologies",European Parliament,https://www.europarl.europa.eu/doceo/document/A-9-2020-0186_EN.pdf,,,,EU,,,,Included,"SPI, digital",1,,,,,,,,,,1,,,1,Maria,,,
Report with recommendations to the Commission on Civil Law Rules on Robotics,European Parliament,https://www.europarl.europa.eu/doceo/document/A-8-2017-0005_EN.html,,,,EU,,,,included,SPI,1,1,,,,,,,,1,,,,2,Mel,,,
Report with recommendations to the Commission on Civil liability regime for artificial intelligence,European Parliament,https://www.europarl.europa.eu/doceo/document/A-9-2020-0178_EN.pdf,,,,EU,,,,Included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
"Resolution on artificial intelligence in criminal matters
 law and its use by the police and judicial authorities in criminal matters",European Parliament,https://www.europarl.europa.eu/doceo/document/TA-9-2021-0405_EN.html,,,,international,,,,not included,binding,0,,,,,,,,,,1,,,1,Tiphaine,,,
"Resolution on Fundamental rights implications of big data: privacy, data protection, non-discrimination, security and law-enforcement",European Parliament,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+TA+P8-TA-2017-0076+0+DOC+XML+V0//EN,,,,international,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
Resolution with recommendations to the Commission on Civil Law Rules on Robotics,European Parliament,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+TA+P8-TA-2017-0051+0+DOC+XML+V0//EN,,,,international,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
Study on Understanding algorithmic decision-making,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2019/624261/EPRS_STU(2019)624261_EN.pdf,,,,EU,,,,Included,"SPI, techno-specific",1,,,,,,,,,,1,,,1,Maria,,,
"Study Requested by the Committee on Industry, Research Energy, European AI leadership",European Parliament,http://www.europarl.europa.eu/RegData/etudes/STUD/2018/626074/IPOL_STU(2018)626074_EN.pdf,,,,EU,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
The ethics of artificial intelligence: Issues and initiatives,European Parliament,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2020)634452 direct url http://www.europarl.europa.eu/RegData/etudes/STUD/2020/634452/EPRS_STU(2020)634452_EN.pdf,,,,EU,,,,Included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
The role of Artificial Intelligence in the European Green Deal,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/662906/IPOL_STU(2021)662906_EN.pdf,,,,EU,,,,Included,"SPI, field-specific",1,,,,,,,,,,1,,,1,Maria,,,
European Declaration on Digital Rights and Principles for the Digital Decade,European Union,https://ec.europa.eu/newsroom/dae/redirection/document/92399,,,,EU,,,,included,,1,,,,,,,,,,1,,,1,Tiphaine,,,
AI Cybersecurity Challenges,European Union Agency for Cybersecurity (ENISA),https://www.enisa.europa.eu/publications/artificial-intelligence-cybersecurity-challenges/@@download/fullReport,,,,EU,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Tiphaine,,,
Study on the impact of Artificial Intellgience on the infrigement and enforcement of copyrights and designs,European Union Intellectual Property Office (EUIPO),https://euipo.europa.eu/tunnel-web/secure/webdav/guest/document_library/observatory/documents/reports/2022_Impact_AI_on_the_Infringement_and_Enforcement_CR_Designs/2022_Impact_AI_on_the_Infringement_and_Enforcement_CR_Designs_FullR_en.pdf,,,,EU,,,,Included,"SPI, field-specific",1,,,,,,,,,,1,,,1,Maria,,,
Malicious Use and Abuse of Artificial Intelligence,EUROPOL,https://www.europol.europa.eu/publications-documents/malicious-uses-and-abuses-of-artificial-intelligence direct download link https://www.europol.europa.eu/cms/sites/default/files/documents/malicious_uses_and_abuses_of_artificial_intelligence_europol.pdf,,,,EU,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Testing and Auditing of AI Systems,ExamAI,https://testing-ai.gi.de/english,,,,Germany,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
Preparing for the future of Artificial Intelligence,Executive Office of the President; National Science and Technology Council; Committee on Technology,https://obamawhitehouse.archives.gov/sites/default/files/whitehouse_files/microsites/ostp/NSTC/preparing_for_the_future_of_ai.pdf,,,national authority,USA,2016-10,,,included,SPI,1,1,1,,1,,,1,,1,,,,5,Mel,,,
AI Taiwan Action Plan,Executive Yuan (Taiwan),https://english.ey.gov.tw/News3/9E5540D592A5FECD/1dec0902-e02a-49c6-870d-e77208481667,,,,Taiwan,,,,not included,not prescriptive,0,,,,,,,,,,1,,,1,Tiphaine,,,
Automating Injustice: The Use of Artificial Intelligence & Automated Decision-Making Systems in Criminal Justice in Europe,Fair Trials,https://www.fairtrials.org/automating-injustice,,,,UK,,,,not included,not prescriptive,0,,,,,,,,,,1,,,1,Tiphaine,,,
Principles for Accountable Algorithms and a Social Impact Statement for Algorithms,"Fairness, Accountability, and Transparency in Machine Learning (FATML)",https://www.fatml.org/resources/principles-for-accountable-algorithms,"Nicholas Diakopoulos, Sorelle Friedler, Marcelo Arenas, Solon Barocas, Michael Hay, Bill Howe, H. V. Jagadish, Kris Unsworth, Arnaud Sahuguet, Suresh Venkatasubramanian, Christo Wilson, Cong Yu, Bendert Zevenbergen",,,international,2014,,,included,,1,1,,,1,,1,1,,1,1,,,6,Tiphaine,,,
AI Ethics Resources,Fast.ai,https://www.fast.ai/2018/09/24/ai-ethics-resources/,,,,USA,,,,not included,meta-analysis,0,,,,,,,,,,1,,,1,Mel,,,
Big Data and Competition - Big Data und Wettbewerb,Federal Cartel Office - Bundeskartellamt (Germany),http://www.bundeskartellamt.de/SharedDocs/Publikation/DE/Schriftenreihe_Digitales/Schriftenreihe_Digitales_1.pdf?__blob=publicationFile&v=3,,,,Germany,,,,not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
Digital Roadmap Austria,"Federal Chancellery, Federal Ministry for Digital and Economic Affairs (Austria)",https://www.digitalroadmap.gv.at/en/,,,,Austria,,,,included,,1,,,,,,,,,,1,,,1,Tiphaine,,,
Key points of the Federal Government for a strategy artificial intelligence,Federal Government (Germany),https://www.bmwi.de/Redaktion/DE/Downloads/E/eckpunktepapier-ki.pdf?__blob=publicationFile&v=10,,,,Germany,,,,Not included,"not in english, not prescriptive",0,,,,,,,1,,,1,,,2,Mel,,,
National Strategy for Artificial Intelligence - Nationale Strategie für Künstliche Intelligenz,Federal Government (Germany),https://www.ki-strategie-deutschland.de/home.html?file=files/downloads/Nationale_KI-Strategie_engl.pdf,,,,Germany,,,,not included,not prescriptive (strategy),0,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence Mission Austria 2030,"Federal Ministry for Transport, Innovation and Technology, Federal Ministry for Digital and Economic Affairs (Austria)",https://www.bmk.gv.at/dam/jcr:8acef058-7167-4335-880e-9fa341b723c8/aimat_ua.pdf,,,,Austria,,,,not included,not in english,0,,,,,,,,,,1,,,1,Tiphaine,,,
Assessing Big Data,Federal Ministry of Education and Research (Germany) - ABIDA,https://www.abida.de/en,,,,Germany,,,,not included,not accessible (project website),0,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence Strategy,Federal Ministry of Education and Research; Federal Ministry for Economic Affairs and Labour and Social Affairs Energy; Federal Ministry of,https://www.ki-strategie-deutschland.de/home.html?file=files/downloads/Nationale_KI-Strategie_engl.pdf,,,,Germany,,,,included,SPI (strategy),1,,1,,,,,,,,,,,1,Tiphaine,,,
Algorithmic decision making for the benefit of consumers. Position paper executive summary,Federation of German Consumer Organisations,https://www.vzbv.de/sites/default/files/downloads/2019/07/19/19-06-25_vzbv_positions_adm_control_summary_en.pdf,,,,Germany,,,,included,SPI issue-specific,1,,,,,,,,,1,1,,,2,Mel,,,
Organisation Best Practices from The Foundation for Best Practices in Machine Learning,Foundation for Best Practices in Machine Learning (FBPML),https://drive.google.com/file/d/1h_9IiL-EkVHJ82upaXkUqpH-JboNyk1c/view,,,,Netherlands,,,,included,SPI,1,,,1,,,,,,,,,1,2,Mel,,,
AI for Humanity,France,https://www.aiforhumanity.fr/en/,,,,France,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
Trustworthy Use of Artifical Intelligence,Fraunhofer Institute for Intelligent Analysis and Information Systems IAIS ,https://www.ki.nrw/wp-content/uploads/2020/03/Whitepaper_Thrustworthy_AI.pdf,,,,Germany,,,,included,SPI,1,,,,,,,,,1,1,,,2,Mel,,,
Joint Statement on Artificial Intelligence and Human Rights,Freedom Online Coalition,https://freedomonlinecoalition.com/wp-content/uploads/2021/06/FOC-Joint-Statement-on-Artificial-Intelligence-and-Human-Rights.pdf,,,,international,,,,included,,1,,,,,,,,,,1,,,1,Mel,,,
How can humans keep the upper hand? Report on the ethical matters raised by AI algorithms,French Data Protection Authority (CNIL),https://www.cnil.fr/sites/default/files/atoms/files/cnil_rapport_ai_gb_web.pdf,"Victor Demiaux, Yacine Si Abdallah",Ethique et Numerique,national authority,France,2017-12,,,included,SPI,1,1,1,,,,,,,,,,,2,Mel,,,
Digital Technology and Healthcare. Which Ethical Issues for which Regulations?,French National Ethical Consultative Committee for Life Sciences and Health (CCNE),https://www.allistene.fr/files/2019/05/rapportCCNE-CERNA-Version-anglaise.pdf,,,,France,,,,included,SPI digital field-specific,1,,,,,,,,,1,1,,,2,Mel,,,
French Presidency Statement on “Digital Challenges for Justice in Europe”,French Presidency of the Committee of Ministers,https://rm.coe.int/final-declaration-of-the-french-presidency-conference-of-mj-coe-15-oct/168098383f,,,,international,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
#BigData: Discrimination in data-supported decision making,Fundamental Rights Agency (FRA),https://fra.europa.eu/sites/default/files/fra_uploads/fra-2018-focus-big-data_en.pdf,,,,EU,,,,included,SPI digital issue-specific,1,,,,,,,,,,1,,,1,Mel,,,
Bias in algorithms: Artificial intelligence and discrimination,Fundamental Rights Agency (FRA),https://fra.europa.eu/sites/default/files/fra_uploads/fra-2022-bias-in-algorithms_en.pdf,,,,EU,,,,included,SPI issue-specific,1,,,,,,,,,,1,,,1,Mel,,,
Data quality and artificial intelligence – mitigating bias and error to protect fundamental rights,Fundamental Rights Agency (FRA),https://fra.europa.eu/sites/default/files/fra_uploads/fra-2019-data-quality-and-ai_en.pdf,,,,EU,,,,included,"SPI (study), field-specific, issue-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Facial recognition technology: fundamental rights considerations in the context of law enforcement,Fundamental Rights Agency (FRA),https://fra.europa.eu/sites/default/files/fra_uploads/fra-2019-facial-recognition-technology-focus-paper-1_en.pdf,,,,EU,,,,included,"SPI (study), field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Getting the future right – Artificial intelligence and fundamental rights,Fundamental Rights Agency (FRA),https://fra.europa.eu/sites/default/files/fra_uploads/fra-2020-artificial-intelligence_en.pdf,,,,EU,,,,included,SPI (study),1,,,,,,,,,,1,,,1,Tiphaine,,,
"Ethical, social, and political challenges of Artificial Intelligence in Health",Future Advocacy,https://cms.wellcome.org/sites/default/files/ai-in-health-ethical-social-political-challenges.pdf,,,,UK,,,,included,SPI field-specific,1,1,,,,,,,,1,1,,,3,Mel,,,
Standards for AI Governance: International Standards to Enable Global Coordination in AI Research & Development,"Future of Humanity Institute, University of Oxford",https://www.fhi.ox.ac.uk/wp-content/uploads/Standards_-FHI-Technical-Report.pdf,,,,international,,,,included,field-specific,1,,,,,,,,,,1,,,1,Tiphaine,,,
"The Malicious Use of Artificial Intelligence: Forecasting, Prevention, and Mitigation",Future of Humanity Institute; University of Oxford; Centre for the Study of Existential Risk; University of Cambridge; Center for a New American Security; Electronic Frontier Foundation; OpenAI,https://arxiv.org/pdf/1802.07228.pdf,,,,international,,,,included,SPI,1,1,,,1,,,,,1,1,,,4,Mel,,,
AI Principles,Future of Life Institute,https://futureoflife.org/open-letter/ai-principles/,.,.,academia,USA,2017-08-11,,,included,,1,1,1,,1,1,1,1,1,1,1,1,,10,Mel,,,
Automated Decision-Making Under the GDPR: Practical Cases from Courts and Data Protection Authorities,Future of Privacy Forum,https://fpf.org/wp-content/uploads/2022/05/FPF-ADM-Report-R2-singles.pdf,,,,USA,,,,included,SPI digital issue-specific,1,,,,,,,,,,1,,,1,Mel,,,
Unfairness by algorithm: Distilling the Harms of automated decision making,Future of Privacy Forum,https://fpf.org/wp-content/uploads/2017/12/FPF-Automated-Decision-Making-Harms-and-Mitigation-Charts.pdf,,,,,,,,included,SPI issue-specific,1,,,,,,,,,1,,,,1,Mel,,,
G20 Ministerial Statement on Trade and Digital Economy,G20,https://www.mofa.go.jp/files/000486596.pdf,,,,international,,,,Not included,not AI ethics,0,,,,,,1,,,1,1,,,3,Mel,,,
Charlevoix Common Vision for the Future of Artificial Intelligence,G7,https://www.mofa.go.jp/files/000373837.pdf,,,international organisation,international,2018,,,included,,1,1,,,,,,1,,1,1,,,4,Mel,,,
Ethical Guidelines of the German Informatics Society,German Informatics Society - Gesellschaft für Informatik,https://gi.de/ethicalguidelines,,,,Germany,,,,Not included,not AI ethics,0,,,,,,,,,1,1,,,2,Mel,,,
"Conclusions from the Conference ""Human Rights in the Era of AI - Europe as international Standard Setter for Artificial Intelligence""",German Presidency of the Committee of Ministers,https://germanycoe.de/storage/documents/Conference_Conclusions.pdf,,,,international,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
The GNI Principles on Freedom of Expression and Privacy,Global Network Initiative,https://globalnetworkinitiative.org/wp-content/uploads/2018/04/GNI-Principles-on-Freedom-of-Expression-and-Privacy.pdf,,,,USA,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
Climate Change and AI: Recommendations for Government Action,"Global Partnership on Artificial Intelligence (GPAI), Climate Change AI, Centre for AI&Climate",https://gpai.ai/projects/responsible-ai/environment/climate-change-and-ai.pdf,,,,international,,,,included,SPI issue-specific,1,,,,,,,,,,1,,,1,Mel,,,
